"mid","gid"
"79","12"
"82","12"
"87","12"
"146","12"
"285","12"
"604","12"
"605","12"
"672","12"
"673","12"
"674","12"
"675","12"
"767","12"
"944","12"
"1273","12"
"1499","12"
"1729","12"
"1735","12"
"1996","12"
"2137","12"
"2270","12"
"6038","12"
"6972","12"
"8341","12"
"8584","12"
"8697","12"
"9053","12"
"9404","12"
"9449","12"
"9471","12"
"9502","12"
"9550","12"
"10109","12"
"10204","12"
"10257","12"
"10674","12"
"10951","12"
"10974","12"
"10975","12"
"11198","12"
"11653","12"
"11841","12"
"12289","12"
"12444","12"
"12445","12"
"13345","12"
"13836","12"
"14164","12"
"14172","12"
"14539","12"
"14797","12"
"17108","12"
"17653","12"
"17811","12"
"18670","12"
"18817","12"
"18855","12"
"18860","12"
"20002","12"
"21621","12"
"24444","12"
"24546","12"
"24993","12"
"25539","12"
"26259","12"
"27578","12"
"29584","12"
"31680","12"
"32388","12"
"32629","12"
"32654","12"
"32909","12"
"35117","12"
"35138","12"
"36669","12"
"37702","12"
"37848","12"
"37868","12"
"38425","12"
"38575","12"
"38955","12"
"39245","12"
"39390","12"
"39751","12"
"39854","12"
"39901","12"
"40166","12"
"40388","12"
"40435","12"
"41380","12"
"41392","12"
"44154","12"
"44554","12"
"45408","12"
"45425","12"
"45491","12"
"45736","12"
"45871","12"
"46528","12"
"47971","12"
"48492","12"
"48791","12"
"49516","12"
"49906","12"
"49967","12"
"50936","12"
"54848","12"
"55750","12"
"56277","12"
"56671","12"
"57624","12"
"58371","12"
"63416","12"
"64307","12"
"64365","12"
"64891","12"
"65000","12"
"65091","12"
"66752","12"
"66758","12"
"66975","12"
"67337","12"
"68721","12"
"69155","12"
"69464","12"
"69521","12"
"69865","12"
"70697","12"
"71987","12"
"73748","12"
"74887","12"
"75519","12"
"75520","12"
"75699","12"
"75845","12"
"76163","12"
"76293","12"
"76294","12"
"76349","12"
"77132","12"
"80474","12"
"80779","12"
"81870","12"
"82061","12"
"83876","12"
"85259","12"
"90022","12"
"90565","12"
"92360","12"
"93569","12"
"96466","12"
"98420","12"
"98567","12"
"99576","12"
"100943","12"
"101189","12"
"104313","12"
"105001","12"
"106651","12"
"106672","12"
"106718","12"
"106778","12"
"107891","12"
"107899","12"
"107900","12"
"107910","12"
"108962","12"
"112700","12"
"115651","12"
"115652","12"
"119892","12"
"122765","12"
"125756","12"
"128393","12"
"135549","12"
"138103","12"
"138567","12"
"138845","12"
"140300","12"
"142300","12"
"145068","12"
"147413","12"
"149085","12"
"149961","12"
"159597","12"
"161351","12"
"164086","12"
"164439","12"
"167449","12"
"167622","12"
"170657","12"
"170805","12"
"172239","12"
"172607","12"
"172745","12"
"172786","12"
"172972","12"
"173018","12"
"173124","12"
"173776","12"
"175821","12"
"181009","12"
"186881","12"
"187364","12"
"187422","12"
"187464","12"
"187727","12"
"187996","12"
"191531","12"
"191563","12"
"192871","12"
"194429","12"
"196385","12"
"197055","12"
"198157","12"
"198309","12"
"198945","12"
"199635","12"
"199638","12"
"199792","12"
"199796","12"
"203509","12"
"206446","12"
"206453","12"
"206697","12"
"217923","12"
"218801","12"
"220587","12"
"230944","12"
"232569","12"
"233361","12"
"241957","12"
"254124","12"
"255599","12"
"263341","12"
"271614","12"
"271617","12"
"283910","12"
"284113","12"
"286217","12"
"293252","12"
"294992","12"
"299824","12"
"300168","12"
"303536","12"
"311324","12"
"312408","12"
"330459","12"
"335777","12"
"336269","12"
"337422","12"
"338388","12"
"345725","12"
"360186","12"
"360297","12"
"361485","12"
"363209","12"
"368195","12"
"372836","12"
"373200","12"
"373571","12"
"381902","12"
"383785","12"
"389201","12"
"391523","12"
"398792","12"
"399566","12"
"404481","12"
"410594","12"
"411907","12"
"413198","12"
"413658","12"
"415214","12"
"420644","12"
"422531","12"
"433845","12"
"435800","12"
"437543","12"
"438277","12"
"446142","12"
"449096","12"
"450692","12"
"451199","12"
"451652","12"
"451653","12"
"451671","12"
"451672","12"
"451770","12"
"451775","12"
"451804","12"
"451937","12"
"451965","12"
"452551","12"
"452734","12"
"453660","12"
"455231","12"
"455578","12"
"455581","12"
"456797","12"
"460555","12"
"462213","12"
"462217","12"
"462253","12"
"462278","12"
"462774","12"
"463044","12"
"466438","12"
"467136","12"
"467139","12"
"467602","12"
"467610","12"
"467619","12"
"467703","12"
"467705","12"
"467707","12"
"467717","12"
"468273","12"
"472529","12"
"473770","12"
"473920","12"
"476310","12"
"476819","12"
"478880","12"
"478887","12"
"478954","12"
"478956","12"
"481106","12"
"481308","12"
"481340","12"
"481394","12"
"482073","12"
"482257","12"
"482283","12"
"482637","12"
"482648","12"
"483285","12"
"483386","12"
"485262","12"
"485264","12"
"485430","12"
"485449","12"
"285","14"
"672","14"
"673","14"
"674","14"
"675","14"
"767","14"
"844","14"
"1494","14"
"1499","14"
"1729","14"
"1735","14"
"1996","14"
"2008","14"
"2137","14"
"2270","14"
"4961","14"
"9048","14"
"9050","14"
"9449","14"
"9470","14"
"10109","14"
"10610","14"
"10852","14"
"11653","14"
"11817","14"
"12211","14"
"12444","14"
"12445","14"
"13345","14"
"13402","14"
"13688","14"
"13836","14"
"14164","14"
"14449","14"
"15026","14"
"15724","14"
"16321","14"
"17808","14"
"18672","14"
"18814","14"
"18817","14"
"20342","14"
"25187","14"
"25384","14"
"30421","14"
"32091","14"
"32654","14"
"35117","14"
"36276","14"
"36586","14"
"37034","14"
"37711","14"
"37848","14"
"38155","14"
"39278","14"
"39900","14"
"39915","14"
"40166","14"
"40207","14"
"41400","14"
"41490","14"
"42230","14"
"42340","14"
"43636","14"
"44424","14"
"44914","14"
"45385","14"
"45394","14"
"45397","14"
"45417","14"
"45442","14"
"45452","14"
"45464","14"
"45480","14"
"45912","14"
"46528","14"
"49636","14"
"50154","14"
"50936","14"
"51885","14"
"52324","14"
"57104","14"
"60898","14"
"63444","14"
"63446","14"
"64988","14"
"64990","14"
"65193","14"
"66014","14"
"67080","14"
"67347","14"
"68867","14"
"68883","14"
"69594","14"
"69865","14"
"70530","14"
"70697","14"
"70916","14"
"74257","14"
"74262","14"
"74887","14"
"75464","14"
"75519","14"
"75812","14"
"75835","14"
"75948","14"
"80268","14"
"80485","14"
"80640","14"
"80779","14"
"82061","14"
"84275","14"
"85014","14"
"85259","14"
"85874","14"
"95990","14"
"96466","14"
"98164","14"
"101189","14"
"102468","14"
"104262","14"
"104313","14"
"104509","14"
"104583","14"
"104586","14"
"104589","14"
"104597","14"
"104599","14"
"104675","14"
"104681","14"
"104689","14"
"105001","14"
"105872","14"
"106423","14"
"106463","14"
"106465","14"
"106470","14"
"106649","14"
"106651","14"
"106652","14"
"106654","14"
"106656","14"
