"pid","birth","death","name","biography","birthplace"
"643","1965-12-31",\N,"巩俐","新加坡华裔女演员，祖籍中国山东，毕业于中央戏剧学院，联合国促进和平艺术家，联合国全球环境保护大使。1987年，因主演电影《红高粱》成名，该片获得柏林电影节金熊奖。1992年，凭借主演的电影《秋菊打官司》获得威尼斯国际电影节最佳女演员奖，该片亦获得金狮奖。1993年，主演的电影《霸王别姬》获得金棕榈奖，因而巩俐成为世界影史第二位主演影片包揽欧洲三大国际电影节影片奖的演员。1993年，获得柏林国际电影节金摄影机奖并上榜美国《人物》全球最美50人。1996年，登上美国《时代周刊》封面并上榜全球十大人物。1997年，担任戛纳国际电影节评委会成员。2000年，担任柏林国际电影节评委会主席；同年，获得蒙特利尔国际电影节最佳女演员奖及艺术成就大奖。2002年，担任威尼斯国际电影节评委会主席。2003年，担任东京国际电影节评委会主席。2004年，获得戛纳国际电影节纪念大奖；同年，上榜美国《首映》影史百大伟大表演。2005年，入选中国电影百年50位有突出贡献艺术家。2006年，上榜美国《时代周刊》60年亚洲英雄；同年，上榜美国《华盛顿邮报》全球年度5位伟大演员。2010年，法国文化部授予其“艺术与文学勋章”司令勋位。2014年，担任上海国际电影节评委会主席；同年，二度上榜日本《电影旬报》百大外国女星。2015年，入选联合国16位影响人类文化艺术家。","Shenyang, Liaoning Province, China"
"695","1937-03-16","1999-04-14","乔宏","","Shanghai, China"
"1336","1963-04-26",\N,"李连杰","李连杰（Jet Li），1963年4月26日生于北京市，华语影视男演员、导演、制作人 、武术运动员、商人。1971年进入北京什刹海体校，从而开始武术运动员的生涯。1975年参加全运会武术套路比赛，获得全能冠军。1979年因伤退出武术界。1982年主演个人首部电影《少林寺》，该片打破华语电影在中国内地的票房纪录。1986年自导自演动作片《中华英雄》。1991年主演的动作片《黄飞鸿之壮志凌云》奠定其在影坛的地位。1992年凭借武侠片《笑傲江湖Ⅱ：东方不败》获得更多关注。1995年获得第32届台湾电影金马奖大陆人士特别奖 。1998年赴美国好莱坞发展，同年出演其在好莱坞的首部电影《致命武器4》。2001年担任动作片《变种元素》的制作人。2002年因主演武侠片《英雄》而成为美国《时代周刊》的封面人物 。2003年凭借动作片《宇宙追缉令》获得第12届MTV电影奖最佳打斗场面提名。2008年凭借动作片《投名状》获得第27届香港电影金像奖最佳男主角 。2009年成为中国企业家俱乐部会员。2010年入选美国《时代周刊》“年度最具影响力人物百人榜” 。2011年参与创办太极禅国际文化发展有限公司。2013年在《中华武术》三十年颁奖盛典中，获得“中华武术30年最具武术影响力人物奖”。2016年主演古装片《封神传奇》 。李连杰热心公益慈善。2007年创建公益组织壹基金。2009年担任世界卫生组织亲善大使。2010年担任国际红十字会亲善大使。2014年在《中国慈善家》“中国慈善名人榜”中排名第二位。","Beijing, China"
"1337","1962-06-27",\N,"梁朝伟","","Hong Kong"
"1338","1964-09-20",\N,"张曼玉","","Hong Kong"
"1339","1979-02-09",\N,"章子怡","","Beijing - China"
"1340","1955-04-26",\N,"Chen Dao-Ming","","Tianjin, China"
"1341","1963-07-27",\N,"甄子丹","","Yuexiu District, Guangzhou, China"
"1619","1955-05-18",\N,"周润发","周润发，广东宝安人，1955年5月18日生于香港南丫岛，为新界原居民，著名电影和电视演员，曾经三度获得香港电影金像奖最佳男主角奖，另外也拿到两次台湾电影金马奖最佳男主角头衔。 1980年代与成龙一并成为香港电影市场的票房保证，并创造了多个脍炙人口的经典角色：许文强、小马哥、赌神等多不胜数。1990年代开始后，与成龙、周星驰因为电影票房成绩出色，共同被媒体形容为“双周一成”。他于1995年赴美国好莱坞发展，在拍摄多部电影后获得一定程度上的成功。","Lamma Island, Hong Kong"
"1624","1946-12-04",\N,"Cheng Pei-Pei","","Shanghai, China"
"1633",\N,\N,"鲍德熹","",\N
"10885","1938",\N,"曾江","","Hong Kong"
"11401","1946-09-22",\N,"吴宇森","","Guangzhou, China"
"12466","1964-07-20",\N,"张耀扬","","Hong Kong"
"12470","1974-09-11",\N,"Paulyn Sun","","Singapore"
"12672","1965-12-08",\N,"Carina Lau","","Suzhou, Jiangsu, China"
"18897","1954-04-07",\N,"成龙","","Victoria Peak, Hong Kong"
"18899","1945-01-01",\N,"袁和平","","Guangzhou, China"
"20519","1955-03-19",\N,"任达华","","Hong Kong"
"20640","1952-08-12",\N,"陈凯歌","","Beijing, China"
"20652","1980-05-24",\N,"张柏芝","国际影星张柏芝1980年出生在香港，从小家境普通，小学毕业之后被父亲送到澳大利亚读书，从小就喜欢照顾人的张柏芝本来打算做一名护士。1998年，17岁的张柏芝从澳洲高中毕业回港。就被星探发现，接拍了阳光柠檬茶的广告（同黄宗泽），当这个不同版本的广告片播出后，各大小杂志、电影公司及广告公司都惊为天人, 纷纷联络其经理人。刚刚出道时的张柏芝因为形象清丽秀美，被媒体誉为小林青霞，而经纪公司也有意将她包装成香港娱乐圈新的玉女派掌门人。然而个性出众的张柏芝却依然坚持要保持自己的本色。接拍了阳光柠檬茶的广告 后，张柏芝被周星驰发掘，成为《喜剧之王》的女主角。她在剧中扮演不失单纯个性的小舞女柳飘飘，情感拿捏得真挚感人，就此一炮而红，此片最后成为当时贺岁片中的票房冠军，成绩达三千万港元。张柏芝被誉为新一代玉女掌门人、香港电影的救星和张曼玉的接班人。 此后, 张柏芝接拍了由嘉禾电影公司出品，马楚成执导的爱情文艺《星愿》并担演女主角，此片已于99年８月份暑假黄金档期上演，而票房更冲破一千万，更为Cecilia奠定影坛上能歌擅影的地位。","Hong Kong"
"20654","1978-03-23",\N,"刘烨","","Jilin, China"
"20655","1968-12-13",\N,"Hong Chen","","Jiangxi, China"
"20999","1959-08-22",\N,"Mark Williams","","Bromsgrove, Worcestershire, England, UK"
"21902",\N,\N,"王文隽","",\N
